I,T,R,E,A,DE,DA,H,M
12 ,1 ,S,1 ,1 ,6 ,"2,166 ","4,779 ",0 
12 ,2 ,T,9 ,0 ,0 ,"5,644 ",0 ,"2,703 "
12 ,2 ,D,17 ,3 ,2 ,"5,780 ",0 ,0 
12 ,2 ,D,14 ,1 ,2 ,"4,569 ",0 ,0 
12 ,2 ,S,11 ,7 ,0 ,"3,165 ","4,961 ",442 
12 ,2 ,S,0 ,15 ,0 ,0 ,"6,885 ",0 
13 ,1 ,T,10 ,0 ,14 ,"7,484 ",0 ,"14,152 "
13 ,1 ,D,18 ,0 ,12 ,"9,303 ",172 ,700 
13 ,1 ,D,11 ,1 ,7 ,"7,809 ",0 ,"4,196 "
13 ,1 ,S,9 ,9 ,6 ,"3,494 ","7,365 ",433 
13 ,1 ,S,6 ,14 ,8 ,"2,002 ","9,186 ",0 
13 ,2 ,D,29 ,0 ,7 ,"8,118 ",786 ,497 
13 ,2 ,D,19 ,2 ,8 ,"9,062 ","1,841 ",0 
13 ,2 ,T,34 ,16 ,5 ,"10,025 ",0 ,"9,409 "
13 ,2 ,S,15 ,18 ,3 ,"2,977 ","7,784 ",444 
13 ,2 ,S,22 ,13 ,2 ,"6,147 ","8,929 ",125 
14 ,1 ,T,13 ,3 ,17 ,"9,641 ",0 ,"24,078 "
14 ,1 ,D,18 ,2 ,6 ,"11,711 ",47 ,"8,128 "
14 ,1 ,D,28 ,3 ,10 ,"16,368 ",367 ,320 
14 ,1 ,S,14 ,13 ,11 ,"5,939 ","12,751 ",863 
14 ,1 ,S,13 ,18 ,5 ,"4,320 ","19,239 ",333 
14 ,2 ,S,14 ,25 ,8 ,"3,839 ","16,509 ","1,672 "
14 ,2 ,T,33 ,10 ,7 ,"14,277 ",0 ,"12,687 "
14 ,2 ,S,19 ,27 ,6 ,"4,892 ","14,542 ",541 
14 ,2 ,D,33 ,3 ,8 ,"15,132 ","1,148 ","1,613 "
14 ,2 ,D,26 ,5 ,9 ,"17,936 ",0 ,"1,540 "
15 ,1 ,T,16 ,1 ,9 ,"6,110 ",0 ,"8,530 "
15 ,1 ,D,12 ,5 ,4 ,"6,664 ",26 ,"4,248 "
15 ,1 ,D,9 ,0 ,10 ,"4,186 ",197 ,"1,571 "
15 ,1 ,S,6 ,7 ,8 ,"1,579 ","7,141 ",0 
15 ,1 ,S,4 ,3 ,8 ,"1,656 ","4,134 ",550 
15 ,2 ,S,10 ,19 ,3 ,"1,823 ","7,283 ",0 
15 ,2 ,T,16 ,10 ,2 ,"5,355 ",0 ,"3,527 "
15 ,2 ,D,24 ,2 ,6 ,"8,327 ","1,071 ",17 
15 ,2 ,D,18 ,2 ,4 ,"6,662 ",0 ,78 
15 ,2 ,S,16 ,12 ,4 ,"3,941 ","5,662 ",237 
16 ,1 ,T,12 ,1 ,11 ,"5,006 ",0 ,"9,911 "
16 ,1 ,D,8 ,0 ,2 ,"7,558 ",0 ,"3,014 "
