I,T,R,E,A,DE,DA,H,M
33,0,1,8,0,3,4878,295,0
33,0,2,7,5,1,2842,3560,394
33,0,2,0,10,2,0,3724,0
33,1,2,2,2,5,1697,4169,35
33,1,1,9,0,4,3752,0,40
33,1,0,2,0,5,2149,533,4882
33,1,2,1,7,2,420,6673,0
33,1,1,3,1,1,3077,202,766
34,0,0,23,4,2,15122,0,14674
34,0,1,20,0,7,10454,127,2282
34,0,1,31,0,4,13615,0,0
34,0,2,15,21,7,4044,10886,1738
34,0,2,2,29,3,204,12610,1166
34,1,0,12,7,6,11643,0,5529
34,1,1,6,5,14,5252,201,980
34,1,1,13,0,14,8647,0,367
34,1,2,4,5,2,2380,6053,177
34,1,2,14,8,10,7607,11575,0
35,0,0,29,6,7,16633,0,29777
35,0,1,29,3,12,11825,726,0
35,0,1,25,6,6,10221,1,5716
35,0,2,14,17,8,4552,9712,2426
35,0,2,9,21,8,2446,9183,434
35,1,0,19,7,7,14569,1883,14824
35,1,1,26,0,10,8845,0,0
35,1,2,9,14,10,3098,13619,698
35,1,2,6,9,10,3142,12930,2231
35,1,1,18,0,8,7758,0,1931
36,0,0,23,3,2,9512,0,10154
36,0,1,26,3,5,8131,1335,0
36,0,1,27,3,7,12372,0,910
36,0,2,19,18,5,3787,8076,650
36,0,2,4,30,5,271,9606,616
36,1,2,0,15,8,140,11574,0
36,1,0,11,1,8,7641,0,11411
36,1,1,15,2,5,9129,1234,5610
36,1,2,12,2,10,5080,5578,0
36,1,1,10,0,10,6884,1689,0
37,0,0,24,3,3,12346,0,17653
37,0,1,20,3,4,9683,1525,0
37,0,1,18,0,4,8945,0,3134
37,0,2,15,18,3,4515,5774,226
37,0,2,9,24,3,568,8563,471
37,1,1,7,0,9,6075,517,651
37,1,1,10,1,8,5525,207,276
37,1,2,7,10,6,3203,7751,0
37,1,0,8,5,8,7238,5288,3763
37,1,2,10,5,7,1566,8692,720
38,0,0,23,3,0,5841,0,4668
38,0,1,18,1,5,5657,567,0
38,0,1,21,0,1,4751,0,1343
38,0,2,9,12,2,2259,6976,253
38,0,2,9,17,3,2552,5909,225
38,1,2,2,2,8,2207,2118,197
38,1,0,6,0,6,6012,0,6207
38,1,1,4,0,7,3838,0,13
38,1,2,2,6,8,441,5983,0
38,1,1,8,0,7,4642,588,0
39,0,0,38,3,2,12497,0,19529
39,0,1,17,1,7,6593,0,89
39,0,1,30,2,6,9348,39,2179
39,0,2,15,28,4,3500,8799,609
39,0,2,0,38,0,0,13912,0
39,1,1,14,0,9,8737,0,1713
39,1,2,8,14,10,992,8485,342
39,1,2,6,14,10,3045,6663,965
39,1,0,9,2,11,8880,41,8773
39,1,1,8,0,10,8410,515,50
40,0,0,29,13,1,10650,0,13097
40,0,1,33,0,7,13429,481,140
40,0,1,14,0,5,6727,15,3108
40,0,2,8,13,6,3390,8129,756
40,0,2,4,19,1,682,11686,990
40,1,2,3,9,9,796,9119,355
40,1,0,5,1,9,6852,1860,5414
40,1,1,8,0,11,9452,3,2439
40,1,2,8,10,7,3373,8513,0
40,1,1,11,0,8,9288,0,1536
41,0,0,23,2,13,9810,12607,4273
41,0,1,42,4,15,17461,0,2303
41,0,1,32,10,4,13872,54,5976
41,0,2,19,36,7,5793,12186,698
41,0,2,7,22,5,2198,15927,982
41,1,2,22,21,9,9178,12960,477
41,1,1,29,1,14,20736,0,270
41,1,0,19,3,10,11584,1162,9996
41,1,2,9,17,10,2226,14334,776
41,1,1,21,0,15,15047,0,884
42,0,0,17,0,0,5396,0,11304
42,0,1,12,3,2,4545,16,514
42,0,1,12,2,2,5825,0,0
42,0,2,15,11,1,4305,5188,14
42,0,2,8,11,0,1186,5320,646
42,1,0,4,1,5,3653,0,7558
42,1,2,3,3,6,1860,5137,0
42,1,2,0,1,3,813,6849,911
42,1,1,1,1,8,2948,186,29
42,1,1,4,1,6,3025,160,0
43,0,0,17,5,5,7614,0,5027
43,0,1,23,7,3,8176,114,2809
