INDEX_1,INDEX_2,TEAM,ROLE,E,A,D,DMG,H,MIT
11,6,2,DAMAGE,16,0,7,6362,1283,0
11,7,2,SUPPORT,3,14,5,1158,12160,772
11,8,2,SUPPORT,0,22,3,611,13061,0
11,9,2,TANK,16,7,6,11696,0,9012
11,10,2,DAMAGE,20,0,8,10882,0,212
12,1,1,TANK,1,1,5,4073,0,3901
12,2,1,DAMAGE,1,1,1,3326,0,885
12,3,1,DAMAGE,2,0,9,2878,603,120
12,4,1,SUPPORT,2,0,5,966,4539,0
12,5,1,SUPPORT,1,1,6,2166,4779,0
12,6,2,TANK,9,0,0,5644,0,2703
12,7,2,DAMAGE,17,3,2,5780,0,0
12,8,2,DAMAGE,14,1,2,4569,0,0
12,9,2,SUPPORT,11,7,0,3165,4961,442
12,10,2,SUPPORT,0,15,0,0,6885,0
13,1,1,TANK,10,0,14,7484,0,14152
13,2,1,DAMAGE,18,0,12,9303,172,700
13,3,1,DAMAGE,11,1,7,7809,0,4196
13,4,1,SUPPORT,9,9,6,3494,7365,433
13,5,1,SUPPORT,6,14,8,2002,9186,0
13,6,2,DAMAGE,29,0,7,8118,786,497
13,7,2,DAMAGE,19,2,8,9062,1841,0
13,8,2,TANK,34,16,5,10025,0,9409
13,9,2,SUPPORT,15,18,3,2977,7784,444
13,10,2,SUPPORT,22,13,2,6147,8929,125
14,1,1,TANK,13,3,17,9641,0,24078
14,2,1,DAMAGE,18,2,6,11711,47,8128
14,3,1,DAMAGE,28,3,10,16368,367,320
14,4,1,SUPPORT,14,13,11,5939,12751,863
14,5,1,SUPPORT,13,18,5,4320,19239,333
14,6,2,SUPPORT,14,25,8,3839,16509,1672
14,7,2,TANK,33,10,7,14277,0,12687
14,8,2,SUPPORT,19,27,6,4892,14542,541
14,9,2,DAMAGE,33,3,8,15132,1148,1613
14,10,2,DAMAGE,26,5,9,17936,0,1540
15,1,1,TANK,16,1,9,6110,0,8530
15,2,1,DAMAGE,12,5,4,6664,26,4248
15,3,1,DAMAGE,9,0,10,4186,197,1571
15,4,1,SUPPORT,6,7,8,1579,7141,0
15,5,1,SUPPORT,4,3,8,1656,4134,550
15,6,2,SUPPORT,10,19,3,1823,7283,0
15,7,2,TANK,16,10,2,5355,0,3527
15,8,2,DAMAGE,24,2,6,8327,1071,17
15,9,2,DAMAGE,18,2,4,6662,0,78
15,10,2,SUPPORT,16,12,4,3941,5662,237
16,1,1,TANK,12,1,11,5006,0,9911
