INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT
27,1,TANK,16,4,2,5160,0,7959
27,1,DAMAGE,15,2,1,7492,38,2612
27,1,DAMAGE,21,0,2,10337,0,1358
27,1,SUPPORT,13,16,2,3825,5433,0
27,1,SUPPORT,4,10,4,1444,6184,35
27,2,DAMAGE,9,0,7,5533,16,798
27,2,SUPPORT,1,5,4,920,7456,279
27,2,DAMAGE,6,0,4,9708,0,339
27,2,TANK,3,1,6,3339,0,5576
27,2,SUPPORT,1,5,7,1759,9993,318
28,1,TANK,16,4,4,6470,0,8250
28,1,DAMAGE,21,7,1,6930,2,2480
28,1,DAMAGE,27,1,8,9207,0,0
28,1,SUPPORT,17,15,4,3171,6086,380
28,1,SUPPORT,15,24,1,4701,8564,0
28,2,SUPPORT,3,10,5,3986,8774,0
28,2,DAMAGE,9,0,9,7111,1738,0
28,2,SUPPORT,7,7,5,2585,5419,309
28,2,TANK,5,0,7,2639,0,25674
28,2,DAMAGE,12,0,13,6160,0,1357
29,1,TANK,31,9,15,11754,0,6719
29,1,DAMAGE,27,9,3,8816,0,1239
29,1,DAMAGE,38,0,9,16001,0,0
29,1,SUPPORT,20,14,7,5148,4721,299
29,1,SUPPORT,2,35,6,250,10566,0
29,2,DAMAGE,25,5,11,9297,1673,35
29,2,DAMAGE,26,0,8,9901,0,797
29,2,TANK,12,5,13,6225,0,5557
29,2,SUPPORT,1,16,10,1170,14089,0
29,2,SUPPORT,21,9,10,5311,9183,146
30,1,TANK,27,4,6,8449,0,6222
30,1,DAMAGE,26,1,7,8124,1240,0
30,1,DAMAGE,18,0,10,6431,0,1868
30,1,SUPPORT,4,8,9,1226,4769,67
30,1,SUPPORT,11,25,6,3157,7583,3348
30,2,DAMAGE,14,4,10,5156,1312,0
30,2,SUPPORT,8,10,8,1939,7623,325
30,2,DAMAGE,17,4,11,7769,0,0
30,2,SUPPORT,14,9,8,4981,5522,0
31,1,TANK,15,3,7,10132,0,6820
31,1,DAMAGE,22,1,8,12594,2211,0
31,1,DAMAGE,20,0,13,9621,0,1595
31,1,SUPPORT,17,15,9,5325,8578,3786
31,1,SUPPORT,16,16,11,4532,9758,222
31,2,SUPPORT,22,18,6,6282,9580,297
31,2,TANK,28,2,5,10247,7401,1035
31,2,DAMAGE,22,8,10,11258,0,0
31,2,DAMAGE,20,3,12,6314,57,260
31,2,SUPPORT,9,14,8,1994,11829,739
32,1,TANK,36,7,13,16104,515,15226
32,1,DAMAGE,32,1,21,17114,75,756
32,1,DAMAGE,34,1,14,21006,1906,0
32,1,SUPPORT,8,18,12,2597,17328,1003
32,1,SUPPORT,17,27,10,7778,14436,7778
32,2,DAMAGE,29,3,19,13352,1491,0
32,2,SUPPORT,33,36,9,8695,18619,328
32,2,SUPPORT,15,24,9,2783,19208,228
32,2,TANK,41,17,7,15178,0,15512
32,2,DAMAGE,37,1,16,18695,1582,185
33,1,TANK,10,3,0,6948,0,10687
33,1,DAMAGE,9,0,5,3476,0,70
33,1,DAMAGE,8,0,3,4878,295,0
33,1,SUPPORT,7,5,1,2842,3560,394
33,1,SUPPORT,0,10,2,0,3724,0
33,2,SUPPORT,2,2,5,1697,4169,35
33,2,DAMAGE,9,0,4,3752,0,40
33,2,TANK,2,0,5,2149,533,4882
33,2,SUPPORT,1,7,2,420,6673,0
33,2,DAMAGE,3,1,1,3077,202,766
34,1,TANK,23,4,2,15122,0,14674
34,1,DAMAGE,20,0,7,10454,127,2282
34,1,DAMAGE,31,0,4,13615,0,0
34,1,SUPPORT,15,21,7,4044,10886,1738
34,1,SUPPORT,2,29,3,204,12610,1166
34,2,TANK,12,7,6,11643,0,5529
34,2,DAMAGE,6,5,14,5252,201,980
34,2,DAMAGE,13,0,14,8647,0,367
34,2,SUPPORT,4,5,2,2380,6053,177
34,2,SUPPORT,14,8,10,7607,11575,0
35,1,TANK,29,6,7,16633,0,29777
35,1,DAMAGE,29,3,12,11825,726,0
35,1,DAMAGE,25,6,6,10221,1,5716
35,1,SUPPORT,14,17,8,4552,9712,2426
35,1,SUPPORT,9,21,8,2446,9183,434
35,2,TANK,19,7,7,14569,1883,14824
35,2,DAMAGE,26,0,10,8845,0,0
35,2,SUPPORT,9,14,10,3098,13619,698
35,2,SUPPORT,6,9,10,3142,12930,2231
35,2,DAMAGE,18,0,8,7758,0,1931
36,1,TANK,23,3,2,9512,0,10154
36,1,DAMAGE,26,3,5,8131,1335,0
36,1,DAMAGE,27,3,7,12372,0,910
36,1,SUPPORT,19,18,5,3787,8076,650
36,1,SUPPORT,4,30,5,271,9606,616
36,2,SUPPORT,0,15,8,140,11574,0
36,2,TANK,11,1,8,7641,0,11411
36,2,DAMAGE,15,2,5,9129,1234,5610
36,2,SUPPORT,12,2,10,5080,5578,0
36,2,DAMAGE,10,0,10,6884,1689,0
37,1,TANK,24,3,3,12346,0,17653
