Q,I,T,Ro,E,A,D,Dm,H,M,Re
R,20,1,D,19,0,7,7762,203,1033,De
R,20,1,S,8,12,7,4818,4780,243,De
R,20,1,S,7,11,8,2595,7080,842,De
R,20,2,T,20,5,3,9017,0,5034,V
R,20,2,S,0,19,5,0,10343,0,V
R,20,2,D,18,5,5,7315,596,0,V
R,20,2,S,7,9,6,2087,7983,125,V
R,20,2,D,19,0,7,8935,0,1138,V
R,21,1,T,7,4,14,8758,0,11681,De
R,21,1,D,9,1,2,9302,0,0,De
R,21,1,D,7,4,10,10710,2145,0,De
R,21,1,S,6,4,12,4356,8286,0,De
R,21,1,S,5,4,7,2916,10068,887,De
R,21,2,S,18,14,2,4036,13176,0,V
R,21,2,D,26,3,4,13247,0,943,V
R,21,2,T,27,13,3,8406,0,17777,V
R,21,2,D,26,4,2,10616,0,65,V
R,21,2,S,15,19,1,2315,16422,1149,V
R,22,1,T,16,2,7,9715,0,11183,De
R,22,1,D,15,3,7,6453,0,0,De
R,22,1,D,15,1,9,9161,1817,0,De
R,22,1,S,7,13,7,2376,10215,0,De
R,22,1,S,8,12,7,3107,5555,181,De
R,22,2,D,17,0,8,6700,0,518,V
R,22,2,D,20,8,6,7941,1080,4160,V
R,22,2,S,9,1,6,2206,7851,0,V
R,22,2,T,29,11,4,10332,0,14135,V
R,22,2,S,13,18,4,3340,10771,544,V
R,23,1,T,21,3,8,11761,2730,5153,De
R,23,1,D,25,4,6,10255,0,0,De
R,23,1,D,14,2,12,5687,492,2071,De
R,23,1,S,11,12,9,2612,9023,412,De
R,23,1,S,5,21,4,1639,13201,0,De
R,23,2,T,17,4,6,13019,0,5379,V
R,23,2,D,20,2,8,11772,0,0,V
R,23,2,S,13,18,5,2395,12871,150,V
R,23,2,D,27,1,7,9684,396,0,V
R,23,2,S,15,15,10,5171,7030,176,V
R,24,1,T,24,4,7,9420,0,12094,De
R,24,1,D,17,4,4,4671,0,0,De
R,24,1,D,13,0,11,4321,0,477,De
R,24,1,S,13,15,7,2760,9615,0,De
R,24,1,S,7,8,9,1935,9299,1262,De
R,24,2,D,23,4,6,6267,0,1351,V
R,24,2,T,22,13,6,5217,0,4480,V
R,24,2,D,20,5,7,5932,0,0,V
R,24,2,S,22,16,5,7339,7259,0,V
R,24,2,S,25,6,6,6406,6568,0,V
R,25,1,T,11,1,7,6857,0,7116,De
R,25,1,D,14,0,7,4876,0,0,De
R,25,1,D,14,1,9,5231,0,0,De
R,25,1,S,7,5,7,2343,7197,365,De
R,25,1,S,10,8,8,3415,4377,0,De
R,25,2,T,20,3,3,5941,0,6573,V
R,25,2,D,11,1,9,4637,463,86,V
R,25,2,S,4,13,5,1331,9405,699,V
R,25,2,S,22,3,2,7586,4845,0,V
R,25,2,D,11,2,8,2803,0,0,V
R,26,1,T,22,10,6,9489,0,11559,De
R,26,1,D,22,2,9,13771,0,0,De
R,26,1,D,20,5,5,13949,0,27,De
R,26,1,S,7,15,4,3530,14076,174,De
R,26,1,S,7,16,6,2428,13049,1225,De
R,26,2,S,3,19,4,134,17007,0,V
R,26,2,T,16,6,7,9973,684,13036,V
R,26,2,D,16,0,9,13580,0,244,V
R,26,2,S,5,8,4,3319,9156,1554,V
R,26,2,D,17,0,9,12514,0,0,V
R,27,1,T,20,6,7,8984,0,9151,De
R,27,1,D,22,1,6,11807,0,0,De
R,27,1,D,12,5,15,6772,1282,307,De
R,27,1,S,12,19,4,2654,11568,762,De
R,27,1,S,8,11,7,4540,11648,0,De
R,27,2,D,21,4,5,13044,1678,939,V
R,27,2,S,17,15,8,5282,10813,0,V
R,27,2,S,16,14,10,4946,6637,428,V
R,27,2,T,22,6,6,11222,1840,3809,V
R,27,2,D,13,8,5,8345,830,8,V
R,28,1,T,12,2,7,6924,561,6508,De
R,28,1,D,14,0,13,7604,1671,0,De
R,28,1,D,15,1,10,6036,644,1259,De
R,28,1,S,8,10,7,2244,9945,820,De
R,28,1,S,11,13,9,2331,7124,327,De
R,28,2,D,19,6,8,5450,84,1310,V
R,28,2,T,23,10,8,6699,0,3733,V
R,28,2,S,19,12,4,6266,8490,0,V
R,28,2,S,23,18,4,6345,5693,407,V
R,28,2,D,31,4,7,11199,0,0,V
R,29,1,T,4,1,6,2835,350,2948,De
R,29,1,D,3,0,4,4086,0,0,De
R,29,1,D,4,0,9,3269,332,0,De
R,29,1,S,1,2,5,887,3924,239,De
R,29,1,S,0,2,5,246,6069,0,De
R,29,2,D,15,1,1,5795,56,1018,V
R,29,2,T,24,6,1,6892,0,8069,V
R,29,2,S,8,10,1,1510,4352,374,V
R,29,2,D,13,2,2,3226,113,222,V
R,29,2,S,13,13,2,3283,3135,0,V
R,30,1,T,10,6,9,6954,549,6227,De
R,30,1,D,13,1,2,8211,0,0,De
R,30,1,D,13,3,10,7907,1179,0,De
R,30,1,S,13,13,4,5231,9560,0,De
R,30,1,S,5,10,5,1154,8490,2524,De
R,30,2,S,11,16,5,3689,9747,4192,V
R,30,2,S,12,14,4,1979,9380,1172,V
R,30,2,T,22,8,4,10767,0,3921,V
R,30,2,D,21,0,4,7604,0,0,V
R,30,2,D,14,3,6,8264,0,0,V
R,31,1,T,1,0,3,3213,3261,929,De
R,31,1,D,5,1,4,4409,0,0,De
