INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
19,1,DAMAGE,2,0,4,4112,0,0,LOSE
19,1,DAMAGE,4,1,3,2672,1114,0,LOSE
19,1,SUPPORT,0,0,5,1160,2553,353,LOSE
19,1,SUPPORT,1,1,4,996,3762,132,LOSE
19,2,TANK,11,1,1,3245,0,6411,WIN
19,2,DAMAGE,11,0,0,5210,0,0,WIN
19,2,DAMAGE,8,0,2,5020,0,99,WIN
19,2,SUPPORT,0,4,3,643,4182,18,WIN
19,2,SUPPORT,1,10,1,729,6626,0,WIN
20,1,TANK,30,6,6,11403,0,16452,LOSE
20,1,DAMAGE,20,3,8,6221,840,0,LOSE
20,1,DAMAGE,31,0,10,15196,0,208,LOSE
20,1,SUPPORT,5,27,9,2617,12801,0,LOSE
20,1,SUPPORT,14,23,8,3678,15469,537,LOSE
20,2,TANK,19,4,10,12751,0,11415,WIN
20,2,DAMAGE,20,1,10,11706,1483,0,WIN
20,2,DAMAGE,22,1,13,10877,285,6265,WIN
20,2,SUPPORT,12,15,8,5251,10988,2441,WIN
20,2,SUPPORT,6,14,7,3713,7995,22,WIN
21,1,TANK,24,11,3,14550,0,22288,LOSE
21,1,DAMAGE,21,0,9,11612,128,3629,LOSE
21,1,DAMAGE,19,8,14,10031,0,1,LOSE
21,1,SUPPORT,8,22,6,3132,20785,1325,LOSE
21,1,SUPPORT,14,15,7,5107,19661,0,LOSE
21,2,TANK,27,5,6,16122,0,28366,WIN
21,2,DAMAGE,25,0,9,15110,898,0,WIN
21,2,DAMAGE,23,0,14,17166,437,109,WIN
21,2,SUPPORT,4,19,7,917,13439,314,WIN
21,2,SUPPORT,8,21,7,3429,13234,683,WIN
22,1,TANK,44,12,10,14023,0,27746,LOSE
22,1,DAMAGE,28,9,20,14388,1578,2767,LOSE
22,1,DAMAGE,25,2,20,15628,388,50,LOSE
22,1,SUPPORT,24,27,12,8787,16270,426,LOSE
22,1,SUPPORT,6,32,9,774,23237,119,LOSE
22,2,TANK,44,13,12,18211,0,18686,WIN
22,2,DAMAGE,36,2,14,18427,1354,1805,WIN
22,2,DAMAGE,30,5,9,14313,530,1930,WIN
22,2,SUPPORT,24,30,12,7153,14337,639,WIN
22,2,SUPPORT,19,45,13,8544,12192,0,WIN
23,1,TANK,16,5,5,12428,0,16931,LOSE
23,1,DAMAGE,3,0,15,5325,0,1003,LOSE
23,1,DAMAGE,11,0,16,5314,226,394,LOSE
23,1,SUPPORT,14,7,7,8298,9501,0,LOSE
23,1,SUPPORT,5,12,8,1827,19761,1942,LOSE
23,2,TANK,30,4,2,19029,1523,16433,WIN
23,2,DAMAGE,18,7,10,7795,0,0,WIN
23,2,DAMAGE,25,1,9,14217,0,0,WIN
23,2,SUPPORT,11,22,4,2874,10912,83,WIN
23,2,SUPPORT,11,17,4,2573,10231,0,WIN
24,1,TANK,42,16,14,20651,0,27415,LOSE
24,1,DAMAGE,29,4,19,18009,923,1816,LOSE
24,1,DAMAGE,28,1,21,18523,0,3374,LOSE
24,1,SUPPORT,18,33,9,6181,27756,1597,LOSE
24,1,SUPPORT,5,21,13,3717,24126,2298,LOSE
24,2,TANK,41,16,14,24682,0,25529,WIN
24,2,DAMAGE,45,12,11,19804,2748,0,WIN
24,2,DAMAGE,47,0,16,26666,2566,142,WIN
24,2,SUPPORT,19,44,9,6281,24081,0,WIN
24,2,SUPPORT,31,28,8,9749,14991,592,WIN
25,1,TANK,24,5,1,8788,0,6522,LOSE
25,1,DAMAGE,17,5,8,7584,0,0,LOSE
25,1,DAMAGE,17,1,7,10389,0,0,LOSE
25,1,SUPPORT,11,20,10,4010,6836,0,LOSE
25,1,SUPPORT,3,17,5,1339,10644,0,LOSE
25,2,TANK,20,0,6,10414,450,10964,WIN
25,2,DAMAGE,16,0,7,8002,0,719,WIN
25,2,DAMAGE,12,5,3,5520,936,638,WIN
25,2,SUPPORT,1,8,8,987,8458,1165,WIN
25,2,SUPPORT,7,14,6,1682,8355,4337,WIN
26,1,TANK,5,2,1,4125,0,5487,LOSE
26,1,DAMAGE,6,0,7,6059,128,37,LOSE
26,1,DAMAGE,4,1,7,3414,0,795,LOSE
26,1,SUPPORT,1,5,6,451,7938,544,LOSE
26,1,SUPPORT,0,7,6,20,3915,0,LOSE
26,2,TANK,11,1,2,4867,0,5332,WIN
26,2,DAMAGE,10,0,2,5907,0,0,WIN
26,2,DAMAGE,12,4,1,6787,0,0,WIN
26,2,SUPPORT,0,12,1,0,4032,0,WIN
26,2,SUPPORT,8,7,2,2463,6088,1666,WIN
27,1,TANK,8,2,4,3444,0,7097,LOSE
27,1,DAMAGE,6,0,6,4707,304,0,LOSE
27,1,DAMAGE,7,2,8,3379,0,0,LOSE
27,1,SUPPORT,5,6,5,1620,4705,0,LOSE
27,1,SUPPORT,3,7,4,1046,5762,383,LOSE
27,2,TANK,15,2,1,7305,0,12811,WIN
27,2,DAMAGE,6,0,2,3772,80,300,WIN
