I,T,RO,E,A,DE,DA,H,M,RE
38,1,S,9,12,2,2259,6976,253,V
38,1,S,9,17,3,2552,5909,225,V
38,2,T,6,0,6,6012,0,6207,D
38,2,D,4,0,7,3838,0,13,D
38,2,D,8,0,7,4642,588,0,D
38,2,S,2,2,8,2207,2118,197,D
38,2,S,2,6,8,441,5983,0,D
39,1,T,38,3,2,12497,0,19529,V
39,1,D,17,1,7,6593,0,89,V
39,1,D,30,2,6,9348,39,2179,V
39,1,S,15,28,4,3500,8799,609,V
39,1,S,0,38,0,0,13912,0,V
39,2,T,9,2,11,8880,41,8773,D
39,2,D,14,0,9,8737,0,1713,D
39,2,D,8,0,10,8410,515,50,D
39,2,S,8,14,10,992,8485,342,D
39,2,S,6,14,10,3045,6663,965,D
40,1,T,29,13,1,10650,0,13097,V
40,1,D,33,0,7,13429,481,140,V
40,1,D,14,0,5,6727,15,3108,V
40,1,S,8,13,6,3390,8129,756,V
40,1,S,4,19,1,682,11686,990,V
40,2,T,5,1,9,6852,1860,5414,D
40,2,D,8,0,11,9452,3,2439,D
40,2,D,11,0,8,9288,0,1536,D
40,2,S,3,9,9,796,9119,355,D
40,2,S,8,10,7,3373,8513,0,D
41,1,T,23,2,13,9810,12607,4273,V
41,1,D,42,4,15,17461,0,2303,V
41,1,D,32,10,4,13872,54,5976,V
41,1,S,19,36,7,5793,12186,698,V
41,1,S,7,22,5,2198,15927,982,V
41,2,T,19,3,10,11584,1162,9996,D
41,2,D,29,1,14,20736,0,270,D
41,2,D,21,0,15,15047,0,884,D
41,2,S,22,21,9,9178,12960,477,D
41,2,S,9,17,10,2226,14334,776,D
42,1,T,17,0,0,5396,0,11304,V
42,1,D,12,3,2,4545,16,514,V
42,1,D,12,2,2,5825,0,0,V
42,1,S,15,11,1,4305,5188,14,V
42,1,S,8,11,0,1186,5320,646,V
42,2,T,4,1,5,3653,0,7558,D
42,2,D,1,1,8,2948,186,29,D
42,2,D,4,1,6,3025,160,0,D
42,2,S,3,3,6,1860,5137,0,D
42,2,S,0,1,3,813,6849,911,D
43,1,T,17,5,5,7614,0,5027,V
43,1,D,23,7,3,8176,114,2809,V
43,1,D,34,2,3,12821,950,0,V
43,1,S,4,32,3,432,8888,0,V
43,1,S,15,17,5,3166,6484,556,V
43,2,T,11,3,9,7020,256,11327,D
43,2,D,9,0,9,7156,0,174,D
43,2,D,9,0,10,5732,60,922,D
43,2,S,9,6,9,4241,5158,908,D
43,2,S,1,13,8,472,11399,423,D
44,1,T,28,1,4,12468,0,23212,V
44,1,D,23,6,7,11259,1122,0,V
44,1,D,24,0,12,6648,0,742,V
44,1,S,25,27,6,7287,10673,0,V
44,1,S,8,21,7,3655,8008,1528,V
44,2,T,19,11,6,10165,0,12762,D
44,2,D,24,2,10,10793,0,324,D
