INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
23,2,DAMAGE,25,1,9,14217,0,0,VICTORY
23,2,SUPPORT,11,22,4,2874,10912,83,VICTORY
23,2,SUPPORT,11,17,4,2573,10231,0,VICTORY
24,1,TANK,42,16,14,20651,0,27415,DEFEAT
24,1,DAMAGE,29,4,19,18009,923,1816,DEFEAT
24,1,DAMAGE,28,1,21,18523,0,3374,DEFEAT
24,1,SUPPORT,18,33,9,6181,27756,1597,DEFEAT
24,1,SUPPORT,5,21,13,3717,24126,2298,DEFEAT
24,2,TANK,41,16,14,24682,0,25529,VICTORY
24,2,DAMAGE,45,12,11,19804,2748,0,VICTORY
24,2,DAMAGE,47,0,16,26666,2566,142,VICTORY
24,2,SUPPORT,19,44,9,6281,24081,0,VICTORY
24,2,SUPPORT,31,28,8,9749,14991,592,VICTORY
25,1,TANK,24,5,1,8788,0,6522,DEFEAT
25,1,DAMAGE,17,5,8,7584,0,0,DEFEAT
25,1,DAMAGE,17,1,7,10389,0,0,DEFEAT
25,1,SUPPORT,11,20,10,4010,6836,0,DEFEAT
25,1,SUPPORT,3,17,5,1339,10644,0,DEFEAT
25,2,TANK,20,0,6,10414,450,10964,VICTORY
25,2,DAMAGE,16,0,7,8002,0,719,VICTORY
25,2,DAMAGE,12,5,3,5520,936,638,VICTORY
25,2,SUPPORT,1,8,8,987,8458,1165,VICTORY
25,2,SUPPORT,7,14,6,1682,8355,4337,VICTORY
26,1,TANK,5,2,1,4125,0,5487,DEFEAT
26,1,DAMAGE,6,0,7,6059,128,37,DEFEAT
26,1,DAMAGE,4,1,7,3414,0,795,DEFEAT
26,1,SUPPORT,1,5,6,451,7938,544,DEFEAT
26,1,SUPPORT,0,7,6,20,3915,0,DEFEAT
26,2,TANK,11,1,2,4867,0,5332,VICTORY
26,2,DAMAGE,10,0,2,5907,0,0,VICTORY
26,2,DAMAGE,12,4,1,6787,0,0,VICTORY
26,2,SUPPORT,0,12,1,0,4032,0,VICTORY
26,2,SUPPORT,8,7,2,2463,6088,1666,VICTORY
27,1,TANK,8,2,4,3444,0,7097,DEFEAT
27,1,DAMAGE,6,0,6,4707,304,0,DEFEAT
27,1,DAMAGE,7,2,8,3379,0,0,DEFEAT
27,1,SUPPORT,5,6,5,1620,4705,0,DEFEAT
27,1,SUPPORT,3,7,4,1046,5762,383,DEFEAT
27,2,TANK,15,2,1,7305,0,12811,VICTORY
27,2,DAMAGE,6,0,2,3772,80,300,VICTORY
27,2,DAMAGE,12,2,4,5358,0,0,VICTORY
27,2,SUPPORT,10,1,4,4148,3493,0,VICTORY
27,2,SUPPORT,5,9,2,695,4869,255,VICTORY
28,1,TANK,31,15,5,14669,0,19043,DEFEAT
28,1,DAMAGE,27,7,9,18579,1027,568,DEFEAT
28,1,DAMAGE,33,5,7,20911,1273,100,DEFEAT
28,1,SUPPORT,12,22,6,4532,15005,393,DEFEAT
28,1,SUPPORT,4,33,4,662,20610,0,DEFEAT
28,2,TANK,22,2,7,19499,903,26155,VICTORY
28,2,DAMAGE,12,2,14,12824,536,201,VICTORY
28,2,DAMAGE,15,0,11,15056,441,1463,VICTORY
28,2,SUPPORT,5,22,7,1098,21631,494,VICTORY
28,2,SUPPORT,6,19,6,5133,17555,301,VICTORY
29,1,TANK,24,9,5,9021,0,10517,DEFEAT
29,1,DAMAGE,17,0,11,7114,0,406,DEFEAT
29,1,DAMAGE,19,9,8,5749,1336,1266,DEFEAT
29,1,SUPPORT,7,17,11,1260,8133,237,DEFEAT
29,1,SUPPORT,9,17,10,1862,8773,113,DEFEAT
29,2,TANK,22,4,6,9017,0,4921,VICTORY
29,2,DAMAGE,24,2,8,8451,89,449,VICTORY
29,2,DAMAGE,14,2,5,7565,110,0,VICTORY
29,2,SUPPORT,11,11,4,3710,6270,0,VICTORY
29,2,SUPPORT,19,11,8,5082,5987,20,VICTORY
30,1,TANK,23,8,9,13588,577,17304,DEFEAT
30,1,DAMAGE,23,1,13,14478,1159,0,DEFEAT
30,1,DAMAGE,19,1,14,10699,81,697,DEFEAT
30,1,SUPPORT,9,22,5,4709,13631,0,DEFEAT
30,1,SUPPORT,11,16,10,6817,12235,38,DEFEAT
30,2,TANK,26,5,4,13739,0,4893,VICTORY
30,2,DAMAGE,22,5,7,12443,0,4117,VICTORY
30,2,DAMAGE,29,5,11,12619,0,1442,VICTORY
30,2,SUPPORT,11,16,9,3438,14106,919,VICTORY
30,2,SUPPORT,13,19,10,3400,12737,0,VICTORY
31,1,TANK,31,3,10,12006,227,16959,DEFEAT
31,1,DAMAGE,28,2,5,11437,0,0,DEFEAT
31,1,DAMAGE,25,5,11,14180,96,488,DEFEAT
31,1,SUPPORT,11,24,9,3316,11446,469,DEFEAT
31,1,SUPPORT,14,34,5,3819,13468,1947,DEFEAT
31,2,TANK,17,4,12,9557,471,16111,VICTORY
31,2,DAMAGE,28,0,9,12360,130,1049,VICTORY
31,2,DAMAGE,14,0,9,9301,1337,0,VICTORY
31,2,SUPPORT,14,23,6,4888,11822,803,VICTORY
31,2,SUPPORT,12,16,11,4950,11473,155,VICTORY
32,1,TANK,25,2,8,12573,0,7913,DEFEAT
32,1,DAMAGE,25,4,4,15046,0,0,DEFEAT
32,1,DAMAGE,25,0,12,8952,0,508,DEFEAT
32,1,SUPPORT,5,22,6,347,15126,0,DEFEAT
32,1,SUPPORT,7,14,7,4076,11159,796,DEFEAT
32,2,TANK,21,11,9,8431,893,12495,VICTORY
32,2,DAMAGE,23,3,10,9625,0,2442,VICTORY
32,2,DAMAGE,18,3,8,8824,1310,0,VICTORY
32,2,SUPPORT,16,10,7,9468,11523,0,VICTORY
32,2,SUPPORT,10,15,9,3462,9329,872,VICTORY
33,1,TANK,41,5,11,21439,0,16011,DEFEAT
33,1,DAMAGE,40,7,5,17461,0,0,DEFEAT
33,1,DAMAGE,28,12,13,13681,0,0,DEFEAT
33,1,SUPPORT,2,42,6,420,20713,0,DEFEAT
33,1,SUPPORT,16,28,7,5419,20404,2572,DEFEAT
33,2,TANK,23,4,9,16983,311,23884,VICTORY
33,2,DAMAGE,21,4,9,13968,949,291,VICTORY
33,2,DAMAGE,20,4,15,11371,1213,2312,VICTORY
33,2,SUPPORT,13,21,13,2751,19898,756,VICTORY
33,2,SUPPORT,17,22,12,11278,14826,92,VICTORY
34,1,TANK,23,7,10,15259,0,13527,DEFEAT
34,1,DAMAGE,25,1,13,9826,285,55,DEFEAT
34,1,DAMAGE,31,5,8,12041,179,0,DEFEAT
34,1,SUPPORT,12,25,4,5057,12697,0,DEFEAT
34,1,SUPPORT,24,20,6,8733,13903,0,DEFEAT
34,2,TANK,24,4,6,13289,82,17859,VICTORY
34,2,DAMAGE,18,0,14,9755,0,232,VICTORY
34,2,DAMAGE,24,1,13,14930,0,0,VICTORY
34,2,SUPPORT,13,13,11,3618,15470,830,VICTORY
34,2,SUPPORT,9,25,10,2557,17752,0,VICTORY
35,1,TANK,15,5,8,8346,0,7000,DEFEAT
35,1,DAMAGE,13,1,5,6407,0,0,DEFEAT
35,1,DAMAGE,6,0,6,5328,720,566,DEFEAT
35,1,SUPPORT,4,13,6,774,7507,0,DEFEAT
35,1,SUPPORT,4,10,7,1556,4288,523,DEFEAT
35,2,TANK,18,5,3,6331,0,16036,VICTORY
35,2,DAMAGE,19,3,1,6803,0,0,VICTORY
35,2,DAMAGE,14,0,8,8406,0,236,VICTORY
35,2,SUPPORT,2,17,3,490,9275,0,VICTORY
35,2,SUPPORT,11,11,4,3338,5576,0,VICTORY
36,1,TANK,16,3,4,8370,0,6116,DEFEAT
36,1,DAMAGE,13,0,6,7834,0,0,DEFEAT
36,1,DAMAGE,12,2,7,7597,1075,103,DEFEAT
36,1,SUPPORT,7,7,9,3457,7132,0,DEFEAT
36,1,SUPPORT,1,10,7,419,6895,11,DEFEAT
36,2,TANK,16,3,3,5664,0,19044,VICTORY
36,2,DAMAGE,19,0,4,9054,1111,0,VICTORY
36,2,DAMAGE,17,1,6,8756,1110,133,VICTORY
36,2,SUPPORT,10,14,7,5064,7358,0,VICTORY
36,2,SUPPORT,2,6,7,1730,10311,82,VICTORY
37,1,TANK,3,0,2,3459,0,8868,DEFEAT
37,1,DAMAGE,7,1,3,5936,0,0,DEFEAT
37,1,DAMAGE,6,1,6,6102,741,0,DEFEAT
37,1,SUPPORT,0,6,2,127,6668,0,DEFEAT
37,1,SUPPORT,2,0,6,2810,4032,193,DEFEAT
37,2,TANK,14,2,3,4362,0,2488,VICTORY
37,2,DAMAGE,12,0,2,3333,263,1949,VICTORY
37,2,DAMAGE,12,0,0,5404,0,1738,VICTORY
37,2,SUPPORT,7,10,2,2408,6906,0,VICTORY
37,2,SUPPORT,3,12,2,952,5465,23,VICTORY
38,1,TANK,2,0,7,2575,0,4111,DEFEAT
38,1,DAMAGE,12,1,1,5261,0,0,DEFEAT
38,1,DAMAGE,11,2,2,6088,0,0,DEFEAT
38,1,SUPPORT,9,0,7,3859,3625,0,DEFEAT
38,1,SUPPORT,2,7,5,654,5964,0,DEFEAT
38,2,TANK,15,2,4,5985,1393,542,VICTORY
38,2,DAMAGE,11,8,3,3470,1971,0,VICTORY
38,2,DAMAGE,10,0,3,4646,0,235,VICTORY
38,2,SUPPORT,8,6,4,2769,3613,433,VICTORY
38,2,SUPPORT,8,9,5,1413,4164,0,VICTORY
39,1,TANK,10,0,8,6145,0,8106,DEFEAT
39,1,DAMAGE,10,2,5,6270,0,0,DEFEAT
39,1,DAMAGE,13,0,9,6905,0,0,DEFEAT
39,1,SUPPORT,17,5,8,7951,6701,196,DEFEAT
39,1,SUPPORT,0,16,7,0,9737,0,DEFEAT
39,2,TANK,23,1,4,10753,700,5697,VICTORY
39,2,DAMAGE,25,3,6,8791,0,1280,VICTORY
39,2,DAMAGE,14,2,8,7060,1306,0,VICTORY
39,2,SUPPORT,12,20,1,1512,8467,324,VICTORY
39,2,SUPPORT,4,16,3,617,9808,64,VICTORY
40,1,TANK,2,0,8,3685,350,3971,DEFEAT
40,1,DAMAGE,4,0,7,4299,0,0,DEFEAT
40,1,DAMAGE,5,0,7,2851,0,0,DEFEAT
40,1,SUPPORT,0,0,2,631,3397,0,DEFEAT
40,1,SUPPORT,0,5,4,98,5285,47,DEFEAT
40,2,TANK,17,4,2,7764,0,5942,VICTORY
40,2,DAMAGE,11,4,2,3314,0,0,VICTORY
40,2,DAMAGE,20,0,2,7321,0,198,VICTORY
40,2,SUPPORT,2,13,0,137,3373,0,VICTORY
40,2,SUPPORT,6,12,2,711,4784,341,VICTORY
41,1,TANK,36,2,11,17848,1982,6284,DEFEAT
41,1,DAMAGE,35,0,6,18042,0,0,DEFEAT
41,1,DAMAGE,37,6,8,15274,400,1211,DEFEAT
41,1,SUPPORT,15,22,11,6731,14901,1699,DEFEAT
41,1,SUPPORT,19,28,7,7049,14850,472,DEFEAT
41,2,TANK,23,10,6,17708,0,7725,VICTORY
41,2,DAMAGE,21,5,13,12103,1542,1506,VICTORY
41,2,DAMAGE,34,1,16,15304,1817,300,VICTORY
41,2,SUPPORT,2,24,13,946,17783,691,VICTORY
41,2,SUPPORT,12,14,10,5718,16086,804,VICTORY
42,1,TANK,2,1,4,2724,0,1999,DEFEAT
42,1,DAMAGE,2,0,2,3826,0,0,DEFEAT
42,1,DAMAGE,0,0,0,0,0,0,DEFEAT
42,1,SUPPORT,1,1,3,1359,1423,0,DEFEAT
42,1,SUPPORT,2,1,2,1323,2499,0,DEFEAT
42,2,TANK,10,2,0,2116,0,1168,VICTORY
42,2,DAMAGE,8,0,1,2072,0,0,VICTORY
42,2,DAMAGE,6,2,1,1427,1166,771,VICTORY
42,2,SUPPORT,5,4,1,2157,2302,0,VICTORY
42,2,SUPPORT,4,7,1,907,3421,131,VICTORY
43,1,TANK,23,8,10,13590,0,16185,DEFEAT
43,1,DAMAGE,24,0,12,10680,0,0,DEFEAT
43,1,DAMAGE,29,7,13,13283,135,0,DEFEAT
43,1,SUPPORT,7,19,3,1504,12051,245,DEFEAT
43,1,SUPPORT,22,15,9,7324,12269,0,DEFEAT
43,2,TANK,23,7,7,9551,1050,13385,VICTORY
43,2,DAMAGE,35,5,8,14040,0,0,VICTORY
43,2,DAMAGE,22,0,10,13109,515,166,VICTORY
43,2,SUPPORT,3,31,6,334,18468,0,VICTORY
43,2,SUPPORT,14,28,9,2978,11123,1805,VICTORY
44,1,TANK,5,1,6,6830,0,12037,DEFEAT
44,1,DAMAGE,3,0,5,6627,0,0,DEFEAT
44,1,DAMAGE,9,0,8,4226,0,0,DEFEAT
44,1,SUPPORT,5,5,4,1651,4369,388,DEFEAT
44,1,SUPPORT,3,1,5,2128,4418,146,DEFEAT
44,2,TANK,17,4,0,7688,0,6752,VICTORY
44,2,DAMAGE,13,1,4,3896,0,300,VICTORY
44,2,DAMAGE,17,2,5,3970,0,0,VICTORY
44,2,SUPPORT,5,15,2,358,11015,0,VICTORY
44,2,SUPPORT,12,11,3,2627,5491,426,VICTORY
45,1,TANK,29,3,4,14136,0,13567,DEFEAT
45,1,DAMAGE,29,0,7,11881,0,0,DEFEAT
45,1,DAMAGE,16,1,2,9094,219,77,DEFEAT
45,1,SUPPORT,2,24,7,264,11754,115,DEFEAT
45,1,SUPPORT,16,19,6,4752,7519,1244,DEFEAT
45,2,TANK,13,2,9,9090,0,4778,VICTORY
45,2,DAMAGE,14,0,10,9176,0,0,VICTORY
45,2,DAMAGE,9,3,7,10025,0,415,VICTORY
45,2,SUPPORT,2,10,7,564,10257,0,VICTORY
45,2,SUPPORT,0,14,7,433,9599,0,VICTORY
46,1,TANK,9,4,7,6852,0,5325,DEFEAT
46,1,DAMAGE,13,0,9,6793,0,0,DEFEAT
46,1,DAMAGE,18,2,14,7801,80,1050,DEFEAT
