Battletag,Eliminations,Deaths,Assists,Damage,Healing,Mitigated,Result
Vestola,20,9,4,13597,0,14075,Defeat
JaeWoo,17,12,4,10774,648,3191,Defeat
sHockWave,12,14,0,9336,0,465,Defeat
FiXa,13,12,13,5779,9713,3707,Defeat
Galaa,15,9,22,5089,15126,0,Defeat
DONGHAK,35,5,7,16822,245,17799,Victory
Proud,33,7,0,18021,0,312,Victory
Viper,30,7,0,16609,746,3233,Victory
skewed,21,9,31,5268,14091,5108,Victory
vigilante,21,5,29,5635,21150,782,Victory
Vestola,22,12,8,18955,0,23587,Defeat
JaeWoo,20,11,2,13172,585,3802,Defeat
sHockWave,19,10,0,15089,0,23,Defeat
FiXa,14,14,15,6259,10896,3061,Defeat
Galaa,16,8,26,5962,23246,0,Defeat
Vestola,15,9,4,10533,0,8521,Defeat
JaeWoo,14,6,0,6535,19,831,Defeat
sHockWave,11,9,0,4638,0,14,Defeat
FiXa,10,5,11,3669,4997,1622,Defeat
Galaa,8,9,11,3672,8611,0,Defeat
DONGHAK,26,3,6,9563,0,3945,Victory
Proud,24,7,0,7920,0,0,Victory
Viper,25,3,0,7831,106,1201,Victory
skewed,20,4,20,4323,7331,2115,Victory
vigilante,15,4,18,3875,10286,0,Victory
DONGHAK,31,7,3,10954,0,7675,Victory
Proud,28,7,0,12102,0,0,Victory
Viper,29,8,0,9387,123,1476,Victory
skewed,21,8,33,6356,10566,4145,Victory
vigilante,18,7,23,3795,13115,0,Victory
Vestola,27,9,10,12566,361,15547,Defeat
JaeWoo,24,8,1,9552,430,752,Defeat
sHockWave,13,11,7,10173,0,99,Defeat
FiXa,15,10,21,5212,9166,3543,Defeat
Galaa,15,7,12,7085,10483,0,Defeat
HanBin,23,3,12,7832,1599,11671,Victory
Proper,29,3,0,8964,134,2285,Victory
Stalk3r,34,2,2,10852,0,0,Victory
ChiYo,20,4,24,6016,5567,1910,Victory
Fielder,15,2,31,4567,8411,0,Victory
Tred,7,9,5,6250,1699,9872,Defeat
Checkmate,5,10,0,5898,0,1264,Defeat
LBBD7,14,10,0,8269,0,0,Defeat
Haku,5,8,4,3632,5308,2039,Defeat
Landon,4,9,11,3349,8534,0,Defeat
HanBin,34,11,6,15476,1297,25190,Defeat
Proper,25,13,1,11688,0,1545,Defeat
Stalk3r,31,12,7,11854,403,0,Defeat
ChiYo,21,9,21,8920,9296,5446,Defeat
Fielder,12,12,32,8542,13050,0,Defeat
Tred,38,9,25,11952,1654,20185,Victory
Checkmate,32,11,4,14836,109,1604,Victory
