INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
49,2,DAMAGE,18,1,10,7163,938,0,DEFEAT
49,2,DAMAGE,19,3,8,9540,533,0,DEFEAT
49,2,SUPPORT,13,11,10,3485,10084,536,DEFEAT
49,2,SUPPORT,7,13,10,2523,11515,0,DEFEAT
50,1,TANK,18,2,1,5544,0,1510,VICTORY
50,1,DAMAGE,12,3,1,4512,0,0,VICTORY
50,1,DAMAGE,11,0,2,3023,0,0,VICTORY
50,1,SUPPORT,8,7,1,1774,3346,0,VICTORY
50,1,SUPPORT,3,13,0,632,4788,0,VICTORY
50,2,TANK,2,1,5,4236,0,4438,DEFEAT
50,2,DAMAGE,3,0,6,2365,301,0,DEFEAT
50,2,DAMAGE,3,0,5,2144,0,0,DEFEAT
50,2,SUPPORT,1,1,5,1588,3153,1536,DEFEAT
50,2,SUPPORT,0,2,4,269,4249,0,DEFEAT
51,1,TANK,15,1,9,10703,584,14251,VICTORY
51,1,DAMAGE,21,6,4,11595,0,0,VICTORY
51,1,DAMAGE,23,6,14,10088,0,0,VICTORY
51,1,SUPPORT,8,15,9,1785,12442,1302,VICTORY
51,1,SUPPORT,9,18,4,3098,8343,0,VICTORY
51,2,TANK,26,5,7,11538,1306,8824,DEFEAT
51,2,DAMAGE,14,4,13,7660,46,224,DEFEAT
51,2,DAMAGE,0,0,0,0,0,0,DEFEAT
51,2,SUPPORT,20,19,8,3904,10791,5455,DEFEAT
51,2,SUPPORT,15,12,9,3798,8535,221,DEFEAT
52,1,TANK,5,0,3,4767,0,5590,VICTORY
52,1,DAMAGE,10,0,0,3435,0,0,VICTORY
52,1,DAMAGE,6,0,3,2858,0,0,VICTORY
52,1,SUPPORT,3,3,2,985,3772,471,VICTORY
52,1,SUPPORT,0,9,1,0,5592,0,VICTORY
52,2,TANK,0,0,0,0,0,0,DEFEAT
52,2,DAMAGE,2,1,3,1974,0,0,DEFEAT
52,2,DAMAGE,6,2,3,3659,0,0,DEFEAT
52,2,SUPPORT,4,5,3,724,4218,43,DEFEAT
52,2,SUPPORT,4,3,2,649,2617,0,DEFEAT
53,1,TANK,18,7,2,5525,0,2397,VICTORY
53,1,DAMAGE,19,2,2,5298,0,0,VICTORY
53,1,DAMAGE,16,1,5,5934,1080,0,VICTORY
53,1,SUPPORT,0,14,3,7,3851,0,VICTORY
53,1,SUPPORT,10,8,5,3622,3131,211,VICTORY
53,2,TANK,8,2,6,4604,0,4224,DEFEAT
53,2,DAMAGE,8,2,7,4126,0,158,DEFEAT
53,2,DAMAGE,13,0,6,5293,0,328,DEFEAT
53,2,SUPPORT,2,8,6,529,5229,345,DEFEAT
53,2,SUPPORT,5,4,5,2303,4617,192,DEFEAT
54,1,TANK,21,0,4,9838,0,9520,VICTORY
54,1,DAMAGE,25,1,2,7905,0,0,VICTORY
54,1,DAMAGE,18,1,6,6677,0,1900,VICTORY
54,1,SUPPORT,16,21,1,2912,7343,677,VICTORY
54,1,SUPPORT,5,16,2,1264,6519,0,VICTORY
54,2,TANK,9,1,5,6346,0,8433,DEFEAT
54,2,DAMAGE,6,0,12,7082,0,759,DEFEAT
54,2,DAMAGE,3,1,11,2701,0,0,DEFEAT
54,2,SUPPORT,1,8,9,509,10115,0,DEFEAT
54,2,SUPPORT,6,3,7,5002,6043,203,DEFEAT
55,1,TANK,21,1,1,5285,0,4734,VICTORY
55,1,DAMAGE,18,1,1,6815,0,0,VICTORY
55,1,DAMAGE,13,0,1,5643,0,2858,VICTORY
55,1,SUPPORT,5,11,0,2317,4097,41,VICTORY
