I,T,R,E,A,DE,DA,H,M
66,1,D,9,3,4,5777,30,875
66,1,D,6,0,6,5662,945,0
66,1,S,2,4,6,2098,4938,752
66,1,S,4,2,6,1713,5852,262
66,2,S,6,15,1,1156,10597,368
66,2,S,10,14,3,2708,5666,0
66,2,D,15,3,4,4194,601,3623
66,2,T,19,8,3,6611,0,10088
66,2,D,18,3,3,8592,0,0
67,1,T,20,4,9,12954,0,8280
67,1,D,17,4,12,8076,32,5761
67,1,D,14,2,12,9388,245,0
67,1,S,0,16,10,374,10028,0
67,1,S,11,10,9,4963,8595,673
67,2,D,38,0,8,11426,0,619
67,2,D,19,9,4,6709,1300,3715
67,2,S,20,27,5,2778,12234,667
67,2,S,15,24,5,3025,11611,0
67,2,T,26,4,8,10529,0,16245
68,1,T,10,1,11,14876,4207,12288
68,1,D,13,2,9,9775,7,2227
68,1,D,8,3,14,12126,499,82
68,1,S,11,3,7,5576,11386,924
68,1,S,10,6,8,7523,11482,841
68,2,D,27,0,4,11049,0,1104
68,2,S,17,19,4,4402,16148,940
68,2,S,10,26,2,1694,16231,1540
68,2,T,28,3,4,15942,6027,8971
68,2,D,31,7,6,13622,948,2389
69,1,T,23,1,17,8774,0,14801
69,1,D,27,14,6,14089,0,9682
69,1,D,33,5,11,14576,0,0
69,1,S,16,21,8,9951,9926,0
69,1,S,22,16,9,9388,10530,795
69,2,T,31,8,10,12330,15168,2557
69,2,D,26,1,14,10627,1193,60
69,2,D,20,12,10,7623,0,0
69,2,S,16,28,11,4909,10841,269
69,2,S,16,22,10,3482,11343,1320
70,1,T,13,2,6,7160,5302,888
70,1,D,4,0,5,4323,47,3170
70,1,D,11,0,10,5781,0,85
70,1,S,2,2,9,2212,5446,675
70,1,S,9,9,8,4199,4182,0
70,2,T,24,1,4,11134,0,8886
70,2,D,14,2,6,7287,0,0
70,2,D,5,1,6,5422,0,970
70,2,S,7,12,4,1939,7524,869
70,2,S,13,16,4,3543,7189,0
71,1,T,10,3,4,7222,0,6420
71,1,D,9,3,3,4438,56,773
71,1,D,11,2,7,6144,279,212
71,1,S,9,6,5,1863,3452,602
71,1,S,1,6,3,60,6660,0
71,2,T,12,1,2,8231,225,7086
71,2,D,5,2,6,2559,0,94
