INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,RESULT
,1,DAMAGE,12,1,1,5261,0,0,LOSE
,1,DAMAGE,11,2,2,6088,0,0,LOSE
,1,SUPPORT,9,0,7,3859,3625,0,LOSE
,1,SUPPORT,2,7,5,654,5964,0,LOSE
,2,TANK,15,2,4,5985,1393,542,WIN
,2,DAMAGE,11,8,3,3470,1971,0,WIN
,2,DAMAGE,10,0,3,4646,0,235,WIN
,2,SUPPORT,8,6,4,2769,3613,433,WIN
,2,SUPPORT,8,9,5,1413,4164,0,WIN
40,1,TANK,10,0,8,6145,0,8106,LOSE
,1,DAMAGE,10,2,5,6270,0,0,LOSE
,1,DAMAGE,13,0,9,6905,0,0,LOSE
,1,SUPPORT,17,5,8,7951,6701,196,LOSE
,1,SUPPORT,0,16,7,0,9737,0,LOSE
,2,TANK,23,1,4,10753,700,5697,WIN
,2,DAMAGE,25,3,6,8791,0,1280,WIN
,2,DAMAGE,14,2,8,7060,1306,0,WIN
,2,SUPPORT,12,20,1,1512,8467,324,WIN
,2,SUPPORT,4,16,3,617,9808,64,WIN
41,1,TANK,2,0,8,3685,350,3971,LOSE
,1,DAMAGE,4,0,7,4299,0,0,LOSE
,1,DAMAGE,5,0,7,2851,0,0,LOSE
,1,SUPPORT,0,0,2,631,3397,0,LOSE
,1,SUPPORT,0,5,4,98,5285,47,LOSE
,2,TANK,17,4,2,7764,0,5942,WIN
,2,DAMAGE,11,4,2,3314,0,0,WIN
,2,DAMAGE,20,0,2,7321,0,198,WIN
,2,SUPPORT,2,13,0,137,3373,0,WIN
,2,SUPPORT,6,12,2,711,4784,341,WIN
42,1,TANK,36,2,11,17848,1982,6284,LOSE
,1,DAMAGE,35,0,6,18042,0,0,LOSE
,1,DAMAGE,37,6,8,15274,400,1211,LOSE
,1,SUPPORT,15,22,11,6731,14901,1699,LOSE
,1,SUPPORT,19,28,7,7049,14850,472,LOSE
,2,TANK,23,10,6,17708,0,7725,WIN
,2,DAMAGE,21,5,13,12103,1542,1506,WIN
,2,DAMAGE,34,1,16,15304,1817,300,WIN
,2,SUPPORT,2,24,13,946,17783,691,WIN
,2,SUPPORT,12,14,10,5718,16086,804,WIN
43,1,TANK,2,1,4,2724,0,1999,LOSE
,1,DAMAGE,2,0,2,3826,0,0,LOSE
,1,DAMAGE,0,0,0,0,0,0,LOSE
,1,SUPPORT,1,1,3,1359,1423,0,LOSE
,1,SUPPORT,2,1,2,1323,2499,0,LOSE
,2,TANK,10,2,0,2116,0,1168,WIN
,2,DAMAGE,8,0,1,2072,0,0,WIN
,2,DAMAGE,6,2,1,1427,1166,771,WIN
,2,SUPPORT,5,4,1,2157,2302,0,WIN
,2,SUPPORT,4,7,1,907,3421,131,WIN
44,1,TANK,23,8,10,13590,0,16185,LOSE
,1,DAMAGE,24,0,12,10680,0,0,LOSE
,1,DAMAGE,29,7,13,13283,135,0,LOSE
,1,SUPPORT,7,19,3,1504,12051,245,LOSE
,1,SUPPORT,22,15,9,7324,12269,0,LOSE
,2,TANK,23,7,7,9551,1050,13385,WIN
,2,DAMAGE,35,5,8,14040,0,0,WIN
,2,DAMAGE,22,0,10,13109,515,166,WIN
,2,SUPPORT,3,31,6,334,18468,0,WIN
,2,SUPPORT,14,28,9,2978,11123,1805,WIN
45,1,TANK,5,1,6,6830,0,12037,LOSE
,1,DAMAGE,3,0,5,6627,0,0,LOSE
,1,DAMAGE,9,0,8,4226,0,0,LOSE
,1,SUPPORT,5,5,4,1651,4369,388,LOSE
,1,SUPPORT,3,1,5,2128,4418,146,LOSE
,2,TANK,17,4,0,7688,0,6752,WIN
,2,DAMAGE,13,1,4,3896,0,300,WIN
,2,DAMAGE,17,2,5,3970,0,0,WIN
,2,SUPPORT,5,15,2,358,11015,0,WIN
,2,SUPPORT,12,11,3,2627,5491,426,WIN
46,1,TANK,29,3,4,14136,0,13567,LOSE
,1,DAMAGE,29,0,7,11881,0,0,LOSE
,1,DAMAGE,16,1,2,9094,219,77,LOSE
,1,SUPPORT,2,24,7,264,11754,115,LOSE
,1,SUPPORT,16,19,6,4752,7519,1244,LOSE
,2,TANK,13,2,9,9090,0,4778,WIN
,2,DAMAGE,14,0,10,9176,0,0,WIN
,2,DAMAGE,9,3,7,10025,0,415,WIN
,2,SUPPORT,2,10,7,564,10257,0,WIN
,2,SUPPORT,0,14,7,433,9599,0,WIN
47,1,TANK,9,4,7,6852,0,5325,LOSE
,1,DAMAGE,13,0,9,6793,0,0,LOSE
,1,DAMAGE,18,2,14,7801,80,1050,LOSE
,1,SUPPORT,10,13,8,2359,11670,962,LOSE
,1,SUPPORT,5,11,14,3074,8687,1207,LOSE
,2,TANK,35,1,4,13112,0,6756,WIN
,2,DAMAGE,22,1,6,7965,369,1,WIN
,2,DAMAGE,18,3,4,8824,0,2320,WIN
,2,SUPPORT,15,16,6,4224,6099,3033,WIN
,2,SUPPORT,13,22,6,3411,7952,253,WIN
48,1,TANK,24,4,9,14908,0,10602,LOSE
,1,DAMAGE,17,0,5,9799,0,0,LOSE
,1,DAMAGE,21,2,13,11357,1365,0,LOSE
,1,SUPPORT,10,14,8,2911,9618,404,LOSE
,1,SUPPORT,14,19,9,4820,10536,0,LOSE
,2,TANK,27,7,5,15255,0,12732,WIN
,2,DAMAGE,22,2,8,7876,0,0,WIN
,2,DAMAGE,20,3,6,9414,304,351,WIN
,2,SUPPORT,11,15,9,2579,11276,497,WIN
,2,SUPPORT,6,17,9,2124,18972,279,WIN
49,1,TANK,3,0,4,2849,0,2753,LOSE
,1,DAMAGE,5,0,2,3958,0,0,LOSE
,1,DAMAGE,4,1,5,3096,0,96,LOSE
,1,SUPPORT,0,2,2,1039,4908,0,LOSE
,1,SUPPORT,1,1,5,1919,3984,0,LOSE
,2,TANK,8,1,1,4259,0,6505,WIN
,2,DAMAGE,10,1,3,5680,0,0,WIN
,2,DAMAGE,12,0,3,4354,0,0,WIN
,2,SUPPORT,3,4,0,1766,3645,500,WIN
,2,SUPPORT,1,6,0,90,6564,124,WIN
50,1,TANK,19,4,6,8468,0,5540,LOSE
,1,DAMAGE,16,0,5,6051,0,0,LOSE
,1,DAMAGE,18,1,8,10534,1148,0,LOSE
,1,SUPPORT,1,18,5,508,11590,298,LOSE
,1,SUPPORT,5,14,6,1278,8497,609,LOSE
,2,TANK,15,4,4,6142,0,12779,WIN
,2,DAMAGE,19,0,7,11736,1474,0,WIN
,2,DAMAGE,19,0,6,10395,0,196,WIN
